Sentence,Top-1 Similar,Top-2 Similar,Top-3 Similar,Top-4 Similar,Top-5 Similar,Top-1 Similarity,Top-2 Similarity,Top-3 Similarity,Top-4 Similarity,Top-5 Similarity,name,video,start,end,speaker,orth,translation,Top-1 Orth,Top-2 Orth,Top-3 Orth,Top-4 Orth,Top-5 Orth,Word_Overlap_Top_1,Word_Overlap_Top_2,Word_Overlap_Top_3,Word_Overlap_Top_4,Word_Overlap_Top_5
später breiten sich aber nebel oder hochnebelfelder aus,dabei breiten sich heute nacht von nordwesten regenfälle bis in die mitte aus,sonst aber funkeln oft die sterne oder es bildet sich nebel,und die breiten sich heute nacht von rheinland pfalz und baden württemberg bis nach thüringen aus,am tag scheint verbreitet die sonne im süden und westen bilden sich später gebietsweise quellwolken,in den frühstunden kann sich vereinzelt nebel bilden,0.85347265,0.85007507,0.8292562,0.8280536,0.8264934,01November_2010_Monday_tagesschau-136,01November_2010_Monday_tagesschau-136/1/*.png,-1.0,-1.0,Signer05,ABER IM-VERLAUF NEBEL HOCH NEBEL IX,später breiten sich aber nebel oder hochnebelfelder aus,HEUTE NACHT IX NORDWEST REGEN KOMMEN REGION,SONST HIMMEL SEHEN STERN NEBEL,HEUTE NACHT RHEINLAND-PFALZ IX BADEN WUERTTEMBERG BIS REGION THUERINGEN REGEN,TAG REGION SONNE SUEDWEST BISSCHEN WOLKE,MORGEN FRUEH IX MOEGLICH NEBEL,1,1,1,0,2
die halten sich morgen recht zäh,ganz im süden sind einzelne schauer möglich,sonst ist es recht freundlich,die werden heute aber erstmal seltener und ziehen sich richtung küste zurück,ganz anders die trockene hitze über russland mit fünfunddreißig bis vierzig grad,die neue woche startet dann durchwachsener,0.86842704,0.8609488,0.85980695,0.8572449,0.85374063,01November_2010_Monday_tagesschau-137,01November_2010_Monday_tagesschau-137/1/*.png,-1.0,-1.0,Signer05,MORGEN LANG BLEIBEN,die halten sich morgen recht zäh,SUED BISSCHEN SCHAUER MOEGLICH,SONST REGION FREUNDLICH,HEUTE NACHT SELTEN TATSAECHLICH KOMMEN KUESTE,RUSSLAND IX TROCKEN HEISS SCHEINEN FUENF DREISSIG BIS VIERZIG GRAD,NEU WOCHE WECHSELHAFT,0,0,0,0,0
in deutschland gibt es nur schwache luftdruckunterschiede,sommerliche temperaturen sind dabei eher die ausnahme,der wind weht meist schwach aus unterschiedlichen richtungen,der wind weht meist schwach und kommt aus unterschiedlichen richtungen,in den folgenden tagen sorgt tiefer luftdruck für wechselhaftes wetter und sinkende temperaturen,dichte wolken und gebietsweise schauer gibt es nur im nordwesten,0.859193,0.8569541,0.8504349,0.8295568,0.8232384,08May_2010_Saturday_tagesschau-175,08May_2010_Saturday_tagesschau-175/1/*.png,-1.0,-1.0,Signer08,DEUTSCH LAND SCHWACH DRUCK UNTERSCHIED,in deutschland gibt es nur schwache luftdruckunterschiede,SOMMER TEMPERATUR SELTEN,WIND SCHWACH UNTERSCHIED KOMMEN,WIND SCHWACH VERSCHIEDEN WEHEN,IN-KOMMEND TIEF AUFZIEHEN WETTER WECHSELHAFT TEMPERATUR REDUZIEREN,BEWOELKT SCHAUER NUR NORDWEST,0,2,1,0,0
vom mittelmeer fließt feuchte luft heran in der sich zum teil kräftige gewitter entwickeln können,dabei kommt es zu heftigen schauern und gewittern die teilweise unwetterartig sein können,die schwüle hitze in dem noch etwas zu und die gewitter können lokal unwetterartig sein,besonders in der südhälfte gibt es nebel oder hochnebel der sich morgen wieder teilweise zäh halten kann,am sonntag wird es wieder unbeständiger mit einzelnen schauern und gewittern die örtlich heftig sein können,vom nordmeer zieht ein kräftiges tief heran und bringt uns ab den morgenstunden heftige schneefälle zum teil auch gefrierenden regen,0.86572844,0.86501276,0.8567208,0.85613006,0.852989,08May_2010_Saturday_tagesschau-176,08May_2010_Saturday_tagesschau-176/1/*.png,-1.0,-1.0,Signer08,REGION FEUCHT REGION IX GEWITTER REGION,vom mittelmeer fließt feuchte luft heran in der sich zum teil kräftige gewitter entwickeln können,MORGEN KOENNEN REGEN GEWITTER UNWETTER KOENNEN,HEUTE FEUCHT WARM HEISS ENORM MOEGLICH GEWITTER AUCH STARK,SUED VIEL NEBEL HOCH NEBEL MORGEN STARK NEBEL,SONNTAG WIEDER WECHSELHAFT SCHAUER GEWITTER ORT STARK,KRAEFTIG AB MORGEN FRUEH MEISTENS SCHNEE SCHNEIEN KALT REGEN,1,2,0,1,0
ganz ähnliche temperaturen wie heute zwischen sechs und elf grad,dort morgen sechs grad sonst temperaturen zwischen minus ein und plus fünf grad,also wir haben morgen höchsttemperaturen in mitteleuropa von achtzehn bis sechsundzwanzig grad,die temperaturen sinken auf werte zwischen dreizehn und fünf grad,temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad,in der nacht sinken die temperaturen auf vierzehn bis sieben grad,0.9174733,0.9107166,0.9097161,0.9047323,0.89225644,24November_2011_Thursday_heute-224,24November_2011_Thursday_heute-224/1/*.png,-1.0,-1.0,Signer05,AEHNLICH WIE HEUTE SECHS ZWISCHEN ELF GRAD,ganz ähnliche temperaturen wie heute zwischen sechs und elf grad,REGION SECHS GRAD REGION MINUS EINS BIS FUENF GRAD,MORGEN UNGEFAEHR MITTE EUROPA ACHTZEHN BIS SECHS ZWANZIG GRAD,TEMPERATUR DREIZEHN ZWISCHEN FUENF GRAD,TEMPERATUR NULL GRAD KALT NORD MINUS FUENF GRAD,HEUTE NACHT SINKEN VIERZEHN BIS SIEBEN GRAD,2,2,2,1,2
in der nordhälfte gibt es zu beginn der nacht noch einzelne heftige schauer und gewitter dann klar dass dort teilweise auf,auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter,der donnerstag wird dann richtig krass da erwarten wir unwetter in deutschland und große temperaturunterschiede sechs bis zwanzig grad,am donnerstag vor allem in der nordwesthälfte hier und da sturmböen,morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer,im verlauf kommt im norden und nordwesten teilweise kräftiger regen auf einzelne gewitter sind dabei,0.8464656,0.84498477,0.83842516,0.8381578,0.8365179,21August_2011_Sunday_tagesschau-263,21August_2011_Sunday_tagesschau-263/1/*.png,-1.0,-1.0,Signer08,NORD NACHT ANFANG ENORM SCHAUER GEWITTER DANN WOLKE VERSCHWINDEN,in der nordhälfte gibt es zu beginn der nacht noch einzelne heftige schauer und gewitter dann klar dass dort teilweise auf,DIENSTAG MITTWOCH SONNE WOLKE WECHSELHAFT SCHAUER TYPISCH REGION REGEN GEWITTER KOENNEN,DONNERSTAG EXTREM WETTER REGION TEMPERATUR UNTERSCHIED SECHS BIS ZWANZIG GRAD,DONNERSTAG BESONDERS NORDWEST REGEN STURM KOENNEN,MORGEN IX NORDOST WOLKE UEBERWIEGEND SCHAUER,NORD NORDWEST MEISTENS REGEN AUCH MOEGLICH BISSCHEN GEWITTER,3,0,0,2,2
und bis zum abend kann die schneefallgrenze auch bis in die niederungen sinken,in der südosthälfte deutschlands bleibt es unter leichtem hochdruckeinfluss noch am längsten freundlich aber auch dort kann es später kräftig krachen,am sonntag wird es wieder unbeständiger mit einzelnen schauern und gewittern die örtlich heftig sein können,der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken,und im laufe der nacht oder gegen morgen wahrscheinlich erst wird es dann im südwesten anfangen zu schneien,und selbst auch im küstenbereich geht es auch nahe an die dreißig grad heran,0.87798506,0.8748829,0.86893445,0.86826736,0.8645908,22November_2010_Monday_heute-283,22November_2010_Monday_heute-283/1/*.png,-1.0,-1.0,Signer01,BIS ABEND IN-KOMMEND DANN KOMMEN NIEDERUNG,und bis zum abend kann die schneefallgrenze auch bis in die niederungen sinken,SUEDOST DEUTSCH LAND BLEIBEN LANG IM-VERLAUF GUT IM-VERLAUF MOEGLICH GEWITTER,SONNTAG WIEDER WECHSELHAFT SCHAUER GEWITTER ORT STARK,MANCHMAL MORGEN LANG DAUER NEBEL WOLKE ABER TROCKEN,MORGEN FRUEH WAHRSCHEINLICH SUED REGION MOEGLICH SCHNEE,KUESTE IX DREISSIG GRAD,0,0,0,0,0
und nun die wettervorhersage für morgen freitag den fünfzehnten oktober,und nun die wettervorhersage für morgen dienstag den dreizehnten oktober,und nun die wettervorhersage für morgen donnerstag den fünfzehnten oktober,und nun die wettervorhersage für morgen samstag den einunddreißigsten oktober,und nun die wettervorhersage für morgen freitag den neunten oktober,und nun die wettervorhersage für morgen donnerstag den achten april,0.99430734,0.9918093,0.9754042,0.97391933,0.97169566,14October_2010_Thursday_tagesschau-287,14October_2010_Thursday_tagesschau-287/1/*.png,-1.0,-1.0,Signer07,JETZT WETTER VORAUSSAGE FUER MORGEN FREITAG FUENFZEHN OKTOBER,und nun die wettervorhersage für morgen freitag den fünfzehnten oktober,JETZT MORGEN WETTER WIE-AUSSEHEN DREIZEHN OKTOBER,JETZT MORGEN WETTER WIE-AUSSEHEN MORGEN FUENFZEHN OKTOBER,HEUTE WETTER MORGEN SAMSTAG EINS ZWANZIG OKTOBER,MORGEN WETTER WIE-AUSSEHEN FREITAG NEUN OKTOBER,JETZT WIE-AUSSEHEN MORGEN DONNERSTAG ACHTE APRIL WETTER,4,5,3,4,3
morgen früh bildet sich über der nordsee ein neues tief das von norden für kräftigen regen sorgt,morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf,wenn der verschwunden ist zeigt sich morgen im süden die sonne während sich die wolken weiter richtung donau ausbreiten und dabei immer größere lücken bekommen,nach einer kurzen wetterberuhigung erreicht uns morgen von westen ein neuer tiefausläufer,von westen erreicht uns ein neues atlantiktief mit zum teil kräftigen regenfällen und heftigen gewittern,dreh und angelpunkt ist nämlich dieses tiefdruckgebiet über dem nordatlantik es schickt uns den regen letztendlich erst einmal nach norddeutschland aber dann heute nacht mehr und mehr in die mitte,0.8900507,0.8832834,0.8821821,0.88179827,0.8797287,14October_2010_Thursday_tagesschau-290,14October_2010_Thursday_tagesschau-290/1/*.png,-1.0,-1.0,Signer07,NORD SEE MEHR WOLKE NORD MEISTENS REGEN,morgen früh bildet sich über der nordsee ein neues tief das von norden für kräftigen regen sorgt,MORGEN REGION SONNE IX WOLKE BEWOELKT,WENN NEBEL VERSCHWINDEN SUED MORGEN SONNE WOLKE KOMMEN ABER WOLKE BEWEGEN,WETTER BISSCHEN RUHIG DANN MORGEN IX REGION TIEF KOMMEN,WEST KOMMEN TIEF ENORM REGEN GEWITTER,NORD REGION IX KOMMEN MEISTENS NORD DEUTSCH LAND HEUTE ABEND MEHR KOMMEN,1,1,0,1,3
heute nacht ist es im süden teils klar teilweise aber auch nebel,die schauer und gewitter im norden klingen in der nacht ab an den alpen fallen noch ein paar regentropfen stellenweise bildet sich nebel,am dienstag ist es in der westhälfte meist freundlich ansonsten stellenweise schauer oder gewitter,heute nacht sind im süden anfangs noch einzelne gewitter möglich sonst fällt nur hier und da regen stellenweise bildet sich nebel,in den mittelgebirgen heute nacht örtlich vier im nordwesten unter wolken bis zwölf grad,im äußersten südosten sowie zwischen nordsee und mosel ist es meist trocken,0.8612835,0.8553834,0.85485965,0.8544714,0.8519403,14October_2010_Thursday_tagesschau-291,14October_2010_Thursday_tagesschau-291/1/*.png,-1.0,-1.0,Signer07,HEUTE ABEND SUED BISSCHEN KLAR HIMMEL BISSCHEN NEBEL AUCH DABEI,heute nacht ist es im süden teils klar teilweise aber auch nebel,NORD REGEN NACHT VERSCHWINDEN ALPEN REGEN KOENNEN IX NEBEL,DIENSTAG WEST FREUNDLICH IX SCHAUER GEWITTER,HEUTE NACHT SUED ANFANG BISSCHEN GEWITTER IX SONST REGION REGEN IX KOENNEN AUCH NEBEL,MITTE BERG VIER NORDWEST ZWOELF GRAD WOLKE,SUEDOST REGION NORD SEE NOCH TROCKEN,1,0,5,0,0
im verlauf kommt im norden und nordwesten teilweise kräftiger regen auf einzelne gewitter sind dabei,in der osthälfte und im süden gibt es heute nacht kräftige regenfälle und zum teil heftige gewitter,besonders im südlichen bergland einzelne wärmegewitter,im norden weht der wind schwach bis mäßig aus west bis südwest sonst schwacher wind aus unterschiedlichen richtungen,am montag regnet es vor allem im norden und osten weiter und besonders im osten wird es windig etwas sonne am ehesten im süden,im osten und südosten sind gewitter möglich,0.8968029,0.89305407,0.891359,0.8870988,0.886595,14October_2010_Thursday_tagesschau-294,14October_2010_Thursday_tagesschau-294/1/*.png,-1.0,-1.0,Signer07,NORD NORDWEST MEISTENS REGEN AUCH MOEGLICH BISSCHEN GEWITTER,im verlauf kommt im norden und nordwesten teilweise kräftiger regen auf einzelne gewitter sind dabei,OST SUED HEUTE ABEND UEBERWIEGEND REGEN STARK GEWITTER,REGION BESONDERS SUED BERG WARM GEWITTER,NORD WIND SCHWACH MAESSIG IX WEHEN SONST REGION VERSCHIEDEN WEHEN,MONTAG HEFTIG REGEN NORDOST REGEN AUCH DAZU WIND REGION,OST REGION SUEDOST MOEGLICH GEWITTER,2,1,1,2,2
morgen scheint dann wieder überall die sonne,morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf,am freitag scheint abseits der nebelgebiete häufig die sonne,nach dessen auflösung scheint morgen verbreitet die sonne,sobald sich der nebel am tag lichtet scheint die sonne,auch morgen erwartet uns eine ruhige herbstmischung aus hochnebel wolken und sonne,0.91309917,0.89890766,0.89853716,0.89678687,0.8856203,06April_2010_Tuesday_tagesschau-306,06April_2010_Tuesday_tagesschau-306/1/*.png,-1.0,-1.0,Signer03,MORGEN UEBERWIEGEND SONNE,morgen scheint dann wieder überall die sonne,MORGEN REGION SONNE IX WOLKE BEWOELKT,FREITAG WENN NEBEN AUFLOESEN SONNE,ZONE AUFLOESEN MORGEN MEISTENS SONNE,WENN NEBEL TAG AUFLOESEN SONNE,MORGEN DANN HERBST MISCHUNG HOCH NEBEL WOLKE SONNE,2,1,2,1,2
am samstag regnet es im südosten und an der ostsee dort ist es teilweise windig sonst regnet es nur vereinzelt teilweise zeigt sich die sonne,in der osthälfte scheint abseits der nebelgebiete häufig die sonne,montag und dienstag wechselhaft hier und da zeigt sich aber auch die sonne,am montag regnet es vor allem im norden und osten weiter und besonders im osten wird es windig etwas sonne am ehesten im süden,im norden weht der wind schwach bis mäßig aus west bis südwest sonst schwacher wind aus unterschiedlichen richtungen,im verlauf kommt im norden und nordwesten teilweise kräftiger regen auf einzelne gewitter sind dabei,0.895962,0.8869639,0.88692284,0.88143784,0.8761736,12May_2010_Wednesday_tagesschau-323,12May_2010_Wednesday_tagesschau-323/1/*.png,-1.0,-1.0,Signer01,SAMSTAG SUEDOST REGEN NORD DANN WIND STARK SONST REGEN IX TEILWEISE AUCH SONNE DABEI,am samstag regnet es im südosten und an der ostsee dort ist es teilweise windig sonst regnet es nur vereinzelt teilweise zeigt sich die sonne,OST NEBEL neg-HABEN SONNE REGION,MONTAG DIENSTAG WECHSELHAFT MAL AUCH SONNE,MONTAG HEFTIG REGEN NORDOST REGEN AUCH DAZU WIND REGION,NORD WIND SCHWACH MAESSIG IX WEHEN SONST REGION VERSCHIEDEN WEHEN,NORD NORDWEST MEISTENS REGEN AUCH MOEGLICH BISSCHEN GEWITTER,1,2,3,4,3
